album,zanr
1430,Post-Punk
1430,Punk Rock
1431,Art Punk
1431,Post-Punk
1432,Art Punk
1432,Experimental Rock
1432,Post-Punk
1473,Art Rock
1473,Folk Pop
1473,Pop Rock
1473,Progressive Pop
1593,Thrash Metal
1705,Art Pop
1705,Art Rock
1705,Electronic
1705,Experimental Rock
1705,Jazz-Rock
1711,Art Rock
1711,Electro-Industrial
1711,Industrial Metal
1711,Industrial Rock
1712,Alternative Rock
1712,Ambient
1712,Art Rock
1712,Industrial Metal
1712,Industrial Rock
1716,Art Rock
1716,Dream Pop
1716,Neo-Psychedelia
1716,Noise Pop
1716,Space Rock
1716,Space Rock Revival
1716,Symphonic Rock
1730,Art Rock
1730,Funk Rock
1730,Jazz-Rock
1730,Pop Rock
1730,Yacht Rock
1731,Funk Rock
1731,Jazz Pop
1731,Jazz-Rock
1731,Pop Rock
1731,Soft Rock
1731,Yacht Rock
1740,Deep Funk
1740,Funk
1740,Psychedelic Soul
1740,Psychedelic Soul
1740,Soul
1744,Art Rock
1744,Glam Rock
1744,Pop Rock
1795,Country
1795,Outlaw Country
1795,Rockabilly
1795,Traditional Country
1904,Alternative Metal
1904,Progressive Metal
1904,Progressive Rock
1905,Alternative Metal
1905,Post-Metal
1905,Progressive Metal
1905,Progressive Metal
1946,Alternative Metal
1946,Nu Metal
1946,Post-Hardcore
1946,Post-Metal
1946,Shoegaze
1990,Contemporary R&amp;B
1990,Dance-Pop
1990,Dance-Pop
1990,Disco
1990,Funk
1990,Pop
1990,Pop Soul
1990,Synth Funk
2009,Alternative Metal
2009,Avant-Garde Metal
2009,Nu Metal
2027,Blues Rock
2027,Hard Rock
2028,Blues Rock
2028,Folk Rock
2028,Hard Rock
2029,Blues Rock
2029,Folk Rock
2029,Hard Rock
2029,Progressive Rock
2030,Blues Rock
2030,Folk Rock
2030,Hard Rock
2082,Garage Rock
2082,Indie Pop
2082,Lo-Fi / Slacker Rock
2082,Power Pop
2082,Psychedelic Pop
2086,Heavy Metal
2086,NWOBHM
2088,Heavy Metal
2088,NWOBHM
2089,Heavy Metal
2089,Progressive Metal
2090,Heavy Metal
2090,Progressive Metal
2091,Heavy Metal
2091,Progressive Metal
2115,Ambient
2115,Dream Pop
2115,Post-Rock
2127,Post-Hardcore
2132,Art Rock
2132,Indie Rock
2132,Post-Hardcore
2135,Cool Jazz
2157,Blues Rock
2157,Hard Rock
2157,Heavy Metal
2157,Traditional Doom Metal
2161,Acid Rock
2161,Blues Rock
2161,Hard Rock
2161,Psychedelic Rock
2264,Folk Rock
2264,Folk Rock
2264,Jam Band
2264,Pop Rock
2264,Psychedelic Pop
2264,Singer/Songwriter
2276,Blues Rock
2276,Hard Rock
2276,Heavy Metal
2276,Traditional Doom Metal
2277,Doom Metal
2277,Heavy Metal
2277,Traditional Doom Metal
2281,Hard Rock
2281,Heavy Metal
2286,Hard Rock
2286,Heavy Metal
2286,Progressive Rock
2287,Blues Rock
2287,Hard Rock
2287,Heavy Metal
2309,Chipmunk Soul
2309,East Coast Hip Hop
2309,Hardcore Hip Hop
2309,Pop Rap
2320,Country Pop
2320,Folk Pop
2320,Pop Rock
2320,Soft Rock
2325,Acid Rock
2325,Blues Rock
2325,Hard Rock
2325,Psychedelic Rock
2328,Art Rock
2328,Free Improvisation
2328,Jazz-Rock
2328,Progressive Rock
2328,Psychedelic Rock
2328,Symphonic Prog
2337,Country Rock
2337,Folk Rock
2337,Hard Rock
2337,Singer/Songwriter
2338,Country Rock
2338,Folk Rock
2338,Singer/Songwriter
2339,Country Rock
2339,Folk Rock
2339,Singer/Songwriter
2345,Alternative Metal
2345,Alternative Rock
2345,Grunge
2345,Hard Rock
2345,Stoner Rock
2357,Blues
2357,Blues Rock
2357,Electric Blues
2357,Psychedelic Rock
2385,Acoustic Rock
2385,Pop Rock
2385,Singer/Songwriter
2402,Blues Rock
2402,Country Rock
2402,Folk Rock
2402,Singer/Songwriter
2403,Blues Rock
2403,Country Rock
2403,Folk Rock
2403,Singer/Songwriter
2404,Country Rock
2404,Folk Rock
2404,Hard Rock
2404,Singer/Songwriter
2406,Acoustic Rock
2406,Country Rock
2406,Folk Rock
2406,Hard Rock
2406,Singer/Songwriter
2426,Blues Rock
2426,Folk Rock
2426,Hard Rock
2436,Garage Rock Revival
2436,Indie Rock
2436,Post-Punk Revival
2438,Ambient Pop
2438,Art Pop
2438,Electronic
2438,Glitch Pop
2438,Microsound
2542,Dub
2542,Post-Industrial
2542,Trip Hop
2564,Blues Rock
2564,Jam Band
2564,Southern Rock
2571,Cool Jazz
2571,Modal Jazz
2574,Alternative Rock
2574,Jangle Pop
2574,Power Pop
2574,Punk Rock
2576,Anarcho-Punk
2576,Hardcore Punk
2576,Punk Rock
2576,Surf Punk
2584,Dance-Pop
2584,Film Soundtrack
2584,Funk Rock
2584,Pop Rock
2584,Synth Funk
2590,Ambient
2590,Ambient Techno
2590,IDM
2591,Ambient
2591,Downtempo
2591,Downtempo
2591,IDM
2593,Blues Rock
2593,Contemporary Folk
2593,Folk Rock
2593,Singer/Songwriter
2602,Ambient
2602,Chamber Music
2602,Drone
2602,Field Recordings
2602,Post-Rock
2611,Dance
2611,Instrumental Hip Hop
2611,Nu-Disco
2611,Plunderphonics
2612,Experimental Hip Hop
2612,Instrumental Hip Hop
