album,izvajalec
12095,Caravan
12136,The Modern Lovers
12256,The Flaming Lips
12410,UFO
12445,Organized Konfusion
12502,Van der Graaf Generator
12517,Concertgebouworkest
12517,Asko Ensemble
12517,Riccardo Chailly
12644,Santana
12690,Morbid Angel
12819,Carl Stalling
12873,John Williams
12873,London Symphony Orchestra
12907,Rush
13083,Steve Reich and Musicians
13114,Exodus
13337,The Who
13339,The Who
13394,Boredoms
13461,John Coltrane
13507,João Gilberto
13532,Miles Davis
13541,Duster
13549,Parliament
13553,The Birthday Party
13802,Thelonious Monk Septet
13916,Keith Jarrett
13931,Mahavishnu Orchestra
13931,John McLaughlin
13935,Herbie Hancock
13991,Candlemass
14024,Little Feat
14030,Electric Wizard
14076,Kyuss
14077,Kyuss
14197,Pink Floyd
14338,Parliament
14339,Dio
14630,Refused
14705,John Coltrane
14706,John Coltrane
14776,Miles Davis
14793,Pharoah Sanders
14795,Pharoah Sanders
14798,Alice Coltrane featuring Pharoah Sanders
15064,Rainbow
15189,Big Black
15269,Swans
15875,Candlemass
15928,Yasunori Mitsuda
15944,Frank Zappa
16111,Songs: Ohia
16147,Lynyrd Skynyrd
16172,Neil Young
16172,Crazy Horse
16415,Elvis Presley
16598,Angelo Badalamenti
16598,David Lynch
16600,Keith Jarrett
16779,Unwound
16879,Gustavo Cerati
16935,Exuma
17034,Aretha Franklin
17040,Tom Zé
17044,Gene Clark
17057,Gorguts
17135,The Horace Silver Quintet
17249,This Heat
17350,The Thelonious Monk Quartet
17376,McCoy Tyner
17474,Bill Evans Trio
17489,Charles Mingus
17499,Eric Dolphy
17501,Eric Dolphy
17575,John Coltrane
17646,Sonny Sharrock
17669,Gil Scott-Heron
17674,Derek & The Dominos
17856,Gentle Giant
17902,Agalloch
17906,Mingus
17997,Interpol
18246,Wayne Shorter
18354,King Crimson
18447,Low
18586,Caetano Veloso
18846,Zappa
18850, Zappa
19133,Renaissance
19286,Queens of the Stone Age
19288,The Misfits
19392,Dissection
19502,Dismember
19727,Joy Division
19835,Steven Wright
20115,Wes Montgomery
20144,Nino Rota
20786,Converge
21066,Coltrane
21235,King Crimson
21237,Rush
21450,Yasunori Mitsuda
21480,King Crimson
21732,Bob Dylan
21749,Wishbone Ash
21876,The Beach Boys
21983,Ennio Morricone
22066,Gravediggaz
22312,Genius/GZA
22349,Grant Green
22375,Ulver
22562,Mobb Deep
22684,John Williams
22917,植松伸夫
22920,近藤浩治
23048,Edge of Sanity
23085,Sigur Rós
23310,Glenn Branca
23674,George Carlin
23684,George Carlin
23915,James Brown
23971,James Brown
24479,Masada
24827,Sonny Rollins
24832,Lee Morgan
24961,Black Sabbath
25138,Isis
25561,Bob Marley
25561,The Wailers
25613,Jay-Z
26173,Rory Gallagher
26421,Talk Talk
27054,London Sinfonietta
27054,David Zinman
27054,Dawn Upshaw
27092,Jimi Hendrix
27314,Johnny Cash
27342,Lee Morgan
27682,Raekwon
27890,Donny Hathaway
28235,Townes Van Zandt
28513,Philip Glass
28663,The Jimi Hendrix Experience
29306,The Stooges
29355,Howard Shore
29618,Gov't Mule
29683,NoMeansNo
29700,Jimi Hendrix
29773,Sam Cooke
30878,Fela Kuti
30878,The Africa '70
30988,UGK
31366,Porcupine Tree
31572,Townes Van Zandt
32162,Glenn Gould
32748,Yo La Tengo
32934,Jimi Hendrix
33040,Drive Like Jehu
33363,Fela Kuti
33363,The Africa '70
33961,Atheist
34236,Scorpions
35500,Milton Nascimento
35500,Lô Borges
36322,Keith Jarrett
37026,Grateful Dead
37270,Seatbelts
37287,Unwound
37596,Glenn Gould
37903,This Heat
37920,The Microphones
38636,Immortal
39027,Muddy Waters
39355,Sun Ra
39581,Hendrix
39642,Etta James
39650,The Jimi Hendrix Experience
39765,Wiener Philharmoniker
39765,Wiener Singverein
39765,Herbert von Karajan
39765,Anna Tomowa-Sintow
39765,Helga Müller-Molinari
39765,Vinson Cole
39765,Paata Burchuladze
40100,Immolation
40262,Orchester der Bayreuther Festspiele
40262,Chor der Bayreuther Festspiele
40262,Karl Böhm
40262,Birgit Nilsson
40262,Wolfgang Windgassen
40262,Christa Ludwig
40262,Martti Talvela
40262,Eberhard Waechter
40355,Miles Davis
40523,Academy of St Martin in the Fields
40523,Neville Marriner
40634,Magnolia Electric Co.
40909,Ennio Morricone
41068,Herbie Hancock
41329,Soda Stereo
41453,Stereolab
41462,Jorge Ben
41463,Jorge Ben
42034,Broken Social Scene
44254,Magma
44333,Townes Van Zandt
44662,Jimmy Smith
45974,Spacemen 3
46031,Mercyful Fate
46318,Miles Davis
46381,Grobschnitt
46453,Autopsy
46466,Bill Withers
46615,Neil Young
46615,Crazy Horse
47142,Gang Starr
47550,Big L
47974,Pete Rock & C.L. Smooth
48115,MF DOOM
48818,Mercyful Fate
48930,Baden Powell
48930,Vinicius de Moraes
49398,The Congos
49746,Charles Mingus
51085,Sweet Trip
51445,Kraftwerk
51446,Kraftwerk
52304,Townes Van Zandt
52627,Velvet Underground
52915,Kraftwerk
53487,Nina Simone
53859,Ween
55072,Silvio Rodríguez
55442,The Mars Volta
55831,David Bowie
58951,Led Zeppelin
59048,Wiener Philharmoniker
59048,Carlos Kleiber
61016,John Fahey
61600,The Cannonball Adderley Quintet
62982,BBC Symphony Orchestra
62982,Colin Davis
62982,John Alldis Choir
62982,Helen Donath
62982,Yvonne Minton
62982,Ryland Davies
62982,Gerd Nienstedt
64354,The John Coltrane Quartet
64448,Eric Dolphy
66381,Mitch Hedberg
68172,Thelonious Monk Quartet
68627,Ella Fitzgerald
69628,Halford
70181,Vince Guaraldi
70433,Demilich
70652,The Sound
70803,Grateful Dead
71407,Jorge Ben
71716,Verve
72156,John Eliot Gardiner
73073,Nina Simone
73082,Nina Simone
76768,Ween
76795,Jeff Buckley
77815,Fela Kuti
77815,The Africa '70
78164,Black Star
78183,Blaze Foley
79378,The Jimi Hendrix Experience
80371,Deep Purple
80731,John Handy
80874,Television
81170,Blind Guardian
81646,Wipers
83323,The Beatles
84233,Pescado Rabioso
84315,Art Blakey & The Jazz Messengers
86110,Rush
86171,Ten Years After
87059,Bob Dylan
88306,The Allman Brothers Band
88508,久石譲
88584,椎名林檎
88585,椎名林檎
90705,Sun Kil Moon
91173,Art Blakey & The Jazz Messengers
94103,Kanye West
96436,Pentagram
98731,Invisible
99242,Johnny Cash
99481,Various Artists
100544,Weakling
100705,Ten Years After
100873,Joe McPhee
101582,Andrew Hill
102596,Howard Shore
103098,Viktor Vaughn
103270,Otis Redding
103270,The Jimi Hendrix Experience
112025,Astor Piazzolla and The New Tango Quintet
113542,Kreator
114057,Mitch Hedberg
114393,Magma
116663,Anthony Braxton
116819,Duke Ellington
118334,Accept
124755,Boris
124756,Boris
125223,Swans
126092,Jackson C. Frank
127034,Magma
127432,Steve Reich and Musicians
131553,Paul Giovanni
131553,Gary Carpenter
131553,Magnet
